sample	cell	drug	dose	time	tissue
MDA-MB-435_sorafenib_10000nM_24h	MDA-MB-435	sorafenib	10000nM	24h	Melanoma
MDA-MB-468_sorafenib_10000nM_24h	MDA-MB-468	sorafenib	10000nM	24h	Breast
MOLT-4_sorafenib_10000nM_24h	MOLT-4	sorafenib	10000nM	24h	Leukemia
NCI-ADR-RES_sorafenib_10000nM_24h	NCI-ADR-RES	sorafenib	10000nM	24h	Ovarian
NCI-H226_sorafenib_10000nM_24h	NCI-H226	sorafenib	10000nM	24h	Lung
NCI-H23_sorafenib_10000nM_24h	NCI-H23	sorafenib	10000nM	24h	Lung
NCI-H322M_sorafenib_10000nM_24h	NCI-H322M	sorafenib	10000nM	24h	Lung
NCI-H460_sorafenib_10000nM_24h	NCI-H460	sorafenib	10000nM	24h	Lung
NCI-H522_sorafenib_10000nM_24h	NCI-H522	sorafenib	10000nM	24h	Lung
OVCAR-3_sorafenib_10000nM_24h	OVCAR-3	sorafenib	10000nM	24h	Ovarian
OVCAR-4_sorafenib_10000nM_24h	OVCAR-4	sorafenib	10000nM	24h	Ovarian
OVCAR-5_sorafenib_10000nM_24h	OVCAR-5	sorafenib	10000nM	24h	Ovarian
OVCAR-8_sorafenib_10000nM_24h	OVCAR-8	sorafenib	10000nM	24h	Ovarian
PC-3_sorafenib_10000nM_24h	PC-3	sorafenib	10000nM	24h	Prostate
RPMI-8226_sorafenib_10000nM_24h	RPMI-8226	sorafenib	10000nM	24h	Leukemia
RXF-393_sorafenib_10000nM_24h	RXF-393	sorafenib	10000nM	24h	Renal
SF-268_sorafenib_10000nM_24h	SF-268	sorafenib	10000nM	24h	CNS
SF-295_sorafenib_10000nM_24h	SF-295	sorafenib	10000nM	24h	CNS
SF-539_sorafenib_10000nM_24h	SF-539	sorafenib	10000nM	24h	CNS
SK-MEL-2_sorafenib_10000nM_24h	SK-MEL-2	sorafenib	10000nM	24h	Melanoma
SK-MEL-28_sorafenib_10000nM_24h	SK-MEL-28	sorafenib	10000nM	24h	Melanoma
SK-MEL-5_sorafenib_10000nM_24h	SK-MEL-5	sorafenib	10000nM	24h	Melanoma
SK-OV-3_sorafenib_10000nM_24h	SK-OV-3	sorafenib	10000nM	24h	Ovarian
SN12C_sorafenib_10000nM_24h	SN12C	sorafenib	10000nM	24h	Renal
SNB-19_sorafenib_10000nM_24h	SNB-19	sorafenib	10000nM	24h	CNS
SNB-75_sorafenib_10000nM_24h	SNB-75	sorafenib	10000nM	24h	CNS
SW-620_sorafenib_10000nM_24h	SW-620	sorafenib	10000nM	24h	Colon
T-47D_sorafenib_10000nM_24h	T-47D	sorafenib	10000nM	24h	Breast
TK-10_sorafenib_10000nM_24h	TK-10	sorafenib	10000nM	24h	Renal
U251_sorafenib_10000nM_24h	U251	sorafenib	10000nM	24h	CNS
UACC-257_sorafenib_10000nM_24h	UACC-257	sorafenib	10000nM	24h	Melanoma
UACC-62_sorafenib_10000nM_24h	UACC-62	sorafenib	10000nM	24h	Melanoma
UO-31_sorafenib_10000nM_24h	UO-31	sorafenib	10000nM	24h	Renal
786-0_sunitinib_2000nM_24h	786-0	sunitinib	2000nM	24h	Renal
A498_sunitinib_2000nM_24h	A498	sunitinib	2000nM	24h	Renal
A549_sunitinib_2000nM_24h	A549	sunitinib	2000nM	24h	Lung
ACHN_sunitinib_2000nM_24h	ACHN	sunitinib	2000nM	24h	Renal
BT-549_sunitinib_2000nM_24h	BT-549	sunitinib	2000nM	24h	Breast
CAKI-1_sunitinib_2000nM_24h	CAKI-1	sunitinib	2000nM	24h	Renal
CCRF-CEM_sunitinib_2000nM_24h	CCRF-CEM	sunitinib	2000nM	24h	Leukemia
COLO-205_sunitinib_2000nM_24h	COLO-205	sunitinib	2000nM	24h	Colon
DU-145_sunitinib_2000nM_24h	DU-145	sunitinib	2000nM	24h	Prostate
EKVX_sunitinib_2000nM_24h	EKVX	sunitinib	2000nM	24h	Lung
HCC-2998_sunitinib_2000nM_24h	HCC-2998	sunitinib	2000nM	24h	Colon
HCT-116_sunitinib_2000nM_24h	HCT-116	sunitinib	2000nM	24h	Colon
HCT-15_sunitinib_2000nM_24h	HCT-15	sunitinib	2000nM	24h	Colon
HL-60_sunitinib_2000nM_24h	HL-60	sunitinib	2000nM	24h	Leukemia
HOP-62_sunitinib_2000nM_24h	HOP-62	sunitinib	2000nM	24h	Lung
HOP-92_sunitinib_2000nM_24h	HOP-92	sunitinib	2000nM	24h	Lung
HS-578T_sunitinib_2000nM_24h	HS-578T	sunitinib	2000nM	24h	Breast
HT29_sunitinib_2000nM_24h	HT29	sunitinib	2000nM	24h	Colon
IGR-OV1_sunitinib_2000nM_24h	IGR-OV1	sunitinib	2000nM	24h	Ovarian
K-562_sunitinib_2000nM_24h	K-562	sunitinib	2000nM	24h	Leukemia
KM12_sunitinib_2000nM_24h	KM12	sunitinib	2000nM	24h	Colon
LOX_sunitinib_2000nM_24h	LOX	sunitinib	2000nM	24h	Melanoma
M14_sunitinib_2000nM_24h	M14	sunitinib	2000nM	24h	Melanoma
MCF7_sunitinib_2000nM_24h	MCF7	sunitinib	2000nM	24h	Breast
MDA-MB-231_sunitinib_2000nM_24h	MDA-MB-231	sunitinib	2000nM	24h	Breast
MDA-MB-435_sunitinib_2000nM_24h	MDA-MB-435	sunitinib	2000nM	24h	Melanoma
MDA-MB-468_sunitinib_2000nM_24h	MDA-MB-468	sunitinib	2000nM	24h	Breast
MOLT-4_sunitinib_2000nM_24h	MOLT-4	sunitinib	2000nM	24h	Leukemia
NCI-ADR-RES_sunitinib_2000nM_24h	NCI-ADR-RES	sunitinib	2000nM	24h	Ovarian
NCI-H226_sunitinib_2000nM_24h	NCI-H226	sunitinib	2000nM	24h	Lung
NCI-H23_sunitinib_2000nM_24h	NCI-H23	sunitinib	2000nM	24h	Lung
NCI-H322M_sunitinib_2000nM_24h	NCI-H322M	sunitinib	2000nM	24h	Lung
NCI-H460_sunitinib_2000nM_24h	NCI-H460	sunitinib	2000nM	24h	Lung
NCI-H522_sunitinib_2000nM_24h	NCI-H522	sunitinib	2000nM	24h	Lung
OVCAR-3_sunitinib_2000nM_24h	OVCAR-3	sunitinib	2000nM	24h	Ovarian
OVCAR-4_sunitinib_2000nM_24h	OVCAR-4	sunitinib	2000nM	24h	Ovarian
OVCAR-5_sunitinib_2000nM_24h	OVCAR-5	sunitinib	2000nM	24h	Ovarian
OVCAR-8_sunitinib_2000nM_24h	OVCAR-8	sunitinib	2000nM	24h	Ovarian
PC-3_sunitinib_2000nM_24h	PC-3	sunitinib	2000nM	24h	Prostate
RPMI-8226_sunitinib_2000nM_24h	RPMI-8226	sunitinib	2000nM	24h	Leukemia
RXF-393_sunitinib_2000nM_24h	RXF-393	sunitinib	2000nM	24h	Renal
SF-295_sunitinib_2000nM_24h	SF-295	sunitinib	2000nM	24h	CNS
SF-539_sunitinib_2000nM_24h	SF-539	sunitinib	2000nM	24h	CNS
SK-MEL-2_sunitinib_2000nM_24h	SK-MEL-2	sunitinib	2000nM	24h	Melanoma
SK-MEL-28_sunitinib_2000nM_24h	SK-MEL-28	sunitinib	2000nM	24h	Melanoma
SK-MEL-5_sunitinib_2000nM_24h	SK-MEL-5	sunitinib	2000nM	24h	Melanoma
SN12C_sunitinib_2000nM_24h	SN12C	sunitinib	2000nM	24h	Renal
SNB-19_sunitinib_2000nM_24h	SNB-19	sunitinib	2000nM	24h	CNS
SNB-75_sunitinib_2000nM_24h	SNB-75	sunitinib	2000nM	24h	CNS
SR_sunitinib_2000nM_24h	SR	sunitinib	2000nM	24h	Leukemia
SW-620_sunitinib_2000nM_24h	SW-620	sunitinib	2000nM	24h	Colon
T-47D_sunitinib_2000nM_24h	T-47D	sunitinib	2000nM	24h	Breast
TK-10_sunitinib_2000nM_24h	TK-10	sunitinib	2000nM	24h	Renal
U251_sunitinib_2000nM_24h	U251	sunitinib	2000nM	24h	CNS
UACC-62_sunitinib_2000nM_24h	UACC-62	sunitinib	2000nM	24h	Melanoma
UO-31_sunitinib_2000nM_24h	UO-31	sunitinib	2000nM	24h	Renal
786-0_topotecan_1000nM_24h	786-0	topotecan	1000nM	24h	Renal
A498_topotecan_1000nM_24h	A498	topotecan	1000nM	24h	Renal
A549_topotecan_1000nM_24h	A549	topotecan	1000nM	24h	Lung
ACHN_topotecan_1000nM_24h	ACHN	topotecan	1000nM	24h	Renal
BT-549_topotecan_1000nM_24h	BT-549	topotecan	1000nM	24h	Breast
CAKI-1_topotecan_1000nM_24h	CAKI-1	topotecan	1000nM	24h	Renal
CCRF-CEM_topotecan_1000nM_24h	CCRF-CEM	topotecan	1000nM	24h	Leukemia
COLO-205_topotecan_1000nM_24h	COLO-205	topotecan	1000nM	24h	Colon
DU-145_topotecan_1000nM_24h	DU-145	topotecan	1000nM	24h	Prostate
EKVX_topotecan_1000nM_24h	EKVX	topotecan	1000nM	24h	Lung
HCC-2998_topotecan_1000nM_24h	HCC-2998	topotecan	1000nM	24h	Colon
HCT-116_topotecan_1000nM_24h	HCT-116	topotecan	1000nM	24h	Colon
HCT-15_topotecan_1000nM_24h	HCT-15	topotecan	1000nM	24h	Colon
HL-60_topotecan_1000nM_24h	HL-60	topotecan	1000nM	24h	Leukemia
HOP-62_topotecan_1000nM_24h	HOP-62	topotecan	1000nM	24h	Lung
HOP-92_topotecan_1000nM_24h	HOP-92	topotecan	1000nM	24h	Lung
HS-578T_topotecan_1000nM_24h	HS-578T	topotecan	1000nM	24h	Breast
HT29_topotecan_1000nM_24h	HT29	topotecan	1000nM	24h	Colon
IGR-OV1_topotecan_1000nM_24h	IGR-OV1	topotecan	1000nM	24h	Ovarian
KM12_topotecan_1000nM_24h	KM12	topotecan	1000nM	24h	Colon
LOX_topotecan_1000nM_24h	LOX	topotecan	1000nM	24h	Melanoma
M14_topotecan_1000nM_24h	M14	topotecan	1000nM	24h	Melanoma
MALME-3M_topotecan_1000nM_24h	MALME-3M	topotecan	1000nM	24h	Melanoma
MCF7_topotecan_1000nM_24h	MCF7	topotecan	1000nM	24h	Breast
MDA-MB-231_topotecan_1000nM_24h	MDA-MB-231	topotecan	1000nM	24h	Breast
MDA-MB-435_topotecan_1000nM_24h	MDA-MB-435	topotecan	1000nM	24h	Melanoma
MDA-MB-468_topotecan_1000nM_24h	MDA-MB-468	topotecan	1000nM	24h	Breast
MOLT-4_topotecan_1000nM_24h	MOLT-4	topotecan	1000nM	24h	Leukemia
NCI-ADR-RES_topotecan_1000nM_24h	NCI-ADR-RES	topotecan	1000nM	24h	Ovarian
NCI-H226_topotecan_1000nM_24h	NCI-H226	topotecan	1000nM	24h	Lung
NCI-H23_topotecan_1000nM_24h	NCI-H23	topotecan	1000nM	24h	Lung
NCI-H322M_topotecan_1000nM_24h	NCI-H322M	topotecan	1000nM	24h	Lung
NCI-H460_topotecan_1000nM_24h	NCI-H460	topotecan	1000nM	24h	Lung
NCI-H522_topotecan_1000nM_24h	NCI-H522	topotecan	1000nM	24h	Lung
OVCAR-3_topotecan_1000nM_24h	OVCAR-3	topotecan	1000nM	24h	Ovarian
OVCAR-4_topotecan_1000nM_24h	OVCAR-4	topotecan	1000nM	24h	Ovarian
OVCAR-5_topotecan_1000nM_24h	OVCAR-5	topotecan	1000nM	24h	Ovarian
OVCAR-8_topotecan_1000nM_24h	OVCAR-8	topotecan	1000nM	24h	Ovarian
PC-3_topotecan_1000nM_24h	PC-3	topotecan	1000nM	24h	Prostate
RPMI-8226_topotecan_1000nM_24h	RPMI-8226	topotecan	1000nM	24h	Leukemia
RXF-393_topotecan_1000nM_24h	RXF-393	topotecan	1000nM	24h	Renal
SF-268_topotecan_1000nM_24h	SF-268	topotecan	1000nM	24h	CNS
SF-295_topotecan_1000nM_24h	SF-295	topotecan	1000nM	24h	CNS
SF-539_topotecan_1000nM_24h	SF-539	topotecan	1000nM	24h	CNS
SK-MEL-2_topotecan_1000nM_24h	SK-MEL-2	topotecan	1000nM	24h	Melanoma
SK-MEL-28_topotecan_1000nM_24h	SK-MEL-28	topotecan	1000nM	24h	Melanoma
SK-MEL-5_topotecan_1000nM_24h	SK-MEL-5	topotecan	1000nM	24h	Melanoma
SK-OV-3_topotecan_1000nM_24h	SK-OV-3	topotecan	1000nM	24h	Ovarian
SN12C_topotecan_1000nM_24h	SN12C	topotecan	1000nM	24h	Renal
SNB-75_topotecan_1000nM_24h	SNB-75	topotecan	1000nM	24h	CNS
SR_topotecan_1000nM_24h	SR	topotecan	1000nM	24h	Leukemia
SW-620_topotecan_1000nM_24h	SW-620	topotecan	1000nM	24h	Colon
T-47D_topotecan_1000nM_24h	T-47D	topotecan	1000nM	24h	Breast
TK-10_topotecan_1000nM_24h	TK-10	topotecan	1000nM	24h	Renal
U251_topotecan_1000nM_24h	U251	topotecan	1000nM	24h	CNS
UACC-257_topotecan_1000nM_24h	UACC-257	topotecan	1000nM	24h	Melanoma
UACC-62_topotecan_1000nM_24h	UACC-62	topotecan	1000nM	24h	Melanoma
UO-31_topotecan_1000nM_24h	UO-31	topotecan	1000nM	24h	Renal
786-0_vorinostat_5000nM_24h	786-0	vorinostat	5000nM	24h	Renal
A498_vorinostat_5000nM_24h	A498	vorinostat	5000nM	24h	Renal
A549_vorinostat_5000nM_24h	A549	vorinostat	5000nM	24h	Lung
ACHN_vorinostat_5000nM_24h	ACHN	vorinostat	5000nM	24h	Renal
BT-549_vorinostat_5000nM_24h	BT-549	vorinostat	5000nM	24h	Breast
CAKI-1_vorinostat_5000nM_24h	CAKI-1	vorinostat	5000nM	24h	Renal
CCRF-CEM_vorinostat_5000nM_24h	CCRF-CEM	vorinostat	5000nM	24h	Leukemia
COLO-205_vorinostat_5000nM_24h	COLO-205	vorinostat	5000nM	24h	Colon
DU-145_vorinostat_5000nM_24h	DU-145	vorinostat	5000nM	24h	Prostate
EKVX_vorinostat_5000nM_24h	EKVX	vorinostat	5000nM	24h	Lung
HCC-2998_vorinostat_5000nM_24h	HCC-2998	vorinostat	5000nM	24h	Colon
HCT-116_vorinostat_5000nM_24h	HCT-116	vorinostat	5000nM	24h	Colon
HCT-15_vorinostat_5000nM_24h	HCT-15	vorinostat	5000nM	24h	Colon
HL-60_vorinostat_5000nM_24h	HL-60	vorinostat	5000nM	24h	Leukemia
HOP-62_vorinostat_5000nM_24h	HOP-62	vorinostat	5000nM	24h	Lung
HOP-92_vorinostat_5000nM_24h	HOP-92	vorinostat	5000nM	24h	Lung
HS-578T_vorinostat_5000nM_24h	HS-578T	vorinostat	5000nM	24h	Breast
HT29_vorinostat_5000nM_24h	HT29	vorinostat	5000nM	24h	Colon
IGR-OV1_vorinostat_5000nM_24h	IGR-OV1	vorinostat	5000nM	24h	Ovarian
K-562_vorinostat_5000nM_24h	K-562	vorinostat	5000nM	24h	Leukemia
KM12_vorinostat_5000nM_24h	KM12	vorinostat	5000nM	24h	Colon
LOX_vorinostat_5000nM_24h	LOX	vorinostat	5000nM	24h	Melanoma
M14_vorinostat_5000nM_24h	M14	vorinostat	5000nM	24h	Melanoma
MALME-3M_vorinostat_5000nM_24h	MALME-3M	vorinostat	5000nM	24h	Melanoma
MCF7_vorinostat_5000nM_24h	MCF7	vorinostat	5000nM	24h	Breast
MDA-MB-231_vorinostat_5000nM_24h	MDA-MB-231	vorinostat	5000nM	24h	Breast
MDA-MB-435_vorinostat_5000nM_24h	MDA-MB-435	vorinostat	5000nM	24h	Melanoma
MDA-MB-468_vorinostat_5000nM_24h	MDA-MB-468	vorinostat	5000nM	24h	Breast
MOLT-4_vorinostat_5000nM_24h	MOLT-4	vorinostat	5000nM	24h	Leukemia
NCI-ADR-RES_vorinostat_5000nM_24h	NCI-ADR-RES	vorinostat	5000nM	24h	Ovarian
NCI-H226_vorinostat_5000nM_24h	NCI-H226	vorinostat	5000nM	24h	Lung
NCI-H23_vorinostat_5000nM_24h	NCI-H23	vorinostat	5000nM	24h	Lung
NCI-H322M_vorinostat_5000nM_24h	NCI-H322M	vorinostat	5000nM	24h	Lung
NCI-H460_vorinostat_5000nM_24h	NCI-H460	vorinostat	5000nM	24h	Lung
NCI-H522_vorinostat_5000nM_24h	NCI-H522	vorinostat	5000nM	24h	Lung
OVCAR-3_vorinostat_5000nM_24h	OVCAR-3	vorinostat	5000nM	24h	Ovarian
OVCAR-4_vorinostat_5000nM_24h	OVCAR-4	vorinostat	5000nM	24h	Ovarian
OVCAR-5_vorinostat_5000nM_24h	OVCAR-5	vorinostat	5000nM	24h	Ovarian
OVCAR-8_vorinostat_5000nM_24h	OVCAR-8	vorinostat	5000nM	24h	Ovarian
PC-3_vorinostat_5000nM_24h	PC-3	vorinostat	5000nM	24h	Prostate
RXF-393_vorinostat_5000nM_24h	RXF-393	vorinostat	5000nM	24h	Renal
SF-268_vorinostat_5000nM_24h	SF-268	vorinostat	5000nM	24h	CNS
SF-295_vorinostat_5000nM_24h	SF-295	vorinostat	5000nM	24h	CNS
SF-539_vorinostat_5000nM_24h	SF-539	vorinostat	5000nM	24h	CNS
SK-MEL-2_vorinostat_5000nM_24h	SK-MEL-2	vorinostat	5000nM	24h	Melanoma
SK-MEL-28_vorinostat_5000nM_24h	SK-MEL-28	vorinostat	5000nM	24h	Melanoma
SK-MEL-5_vorinostat_5000nM_24h	SK-MEL-5	vorinostat	5000nM	24h	Melanoma
SK-OV-3_vorinostat_5000nM_24h	SK-OV-3	vorinostat	5000nM	24h	Ovarian
SN12C_vorinostat_5000nM_24h	SN12C	vorinostat	5000nM	24h	Renal
SNB-19_vorinostat_5000nM_24h	SNB-19	vorinostat	5000nM	24h	CNS
SNB-75_vorinostat_5000nM_24h	SNB-75	vorinostat	5000nM	24h	CNS
SR_vorinostat_5000nM_24h	SR	vorinostat	5000nM	24h	Leukemia
SW-620_vorinostat_5000nM_24h	SW-620	vorinostat	5000nM	24h	Colon
T-47D_vorinostat_5000nM_24h	T-47D	vorinostat	5000nM	24h	Breast
TK-10_vorinostat_5000nM_24h	TK-10	vorinostat	5000nM	24h	Renal
U251_vorinostat_5000nM_24h	U251	vorinostat	5000nM	24h	CNS
UACC-257_vorinostat_5000nM_24h	UACC-257	vorinostat	5000nM	24h	Melanoma
UACC-62_vorinostat_5000nM_24h	UACC-62	vorinostat	5000nM	24h	Melanoma
UO-31_vorinostat_5000nM_24h	UO-31	vorinostat	5000nM	24h	Renal
786-0_5-Azacytidine_0nM_24h	786-0	5-Azacytidine	0nM	24h	Renal
A549_5-Azacytidine_0nM_24h	A549	5-Azacytidine	0nM	24h	Lung
BT-549_5-Azacytidine_0nM_24h	BT-549	5-Azacytidine	0nM	24h	Breast
CAKI-1_5-Azacytidine_0nM_24h	CAKI-1	5-Azacytidine	0nM	24h	Renal
CCRF-CEM_5-Azacytidine_0nM_24h	CCRF-CEM	5-Azacytidine	0nM	24h	Leukemia
DU-145_5-Azacytidine_0nM_24h	DU-145	5-Azacytidine	0nM	24h	Prostate
HCT-116_5-Azacytidine_0nM_24h	HCT-116	5-Azacytidine	0nM	24h	Colon
HOP-92_5-Azacytidine_0nM_24h	HOP-92	5-Azacytidine	0nM	24h	Lung
HS-578T_5-Azacytidine_0nM_24h	HS-578T	5-Azacytidine	0nM	24h	Breast
IGR-OV1_5-Azacytidine_0nM_24h	IGR-OV1	5-Azacytidine	0nM	24h	Ovarian
K-562_5-Azacytidine_0nM_24h	K-562	5-Azacytidine	0nM	24h	Leukemia
KM12_5-Azacytidine_0nM_24h	KM12	5-Azacytidine	0nM	24h	Colon
M14_5-Azacytidine_0nM_24h	M14	5-Azacytidine	0nM	24h	Melanoma
MALME-3M_5-Azacytidine_0nM_24h	MALME-3M	5-Azacytidine	0nM	24h	Melanoma
MCF7_5-Azacytidine_0nM_24h	MCF7	5-Azacytidine	0nM	24h	Breast
MDA-MB-435_5-Azacytidine_0nM_24h	MDA-MB-435	5-Azacytidine	0nM	24h	Melanoma
MDA-MB-468_5-Azacytidine_0nM_24h	MDA-MB-468	5-Azacytidine	0nM	24h	Breast
MOLT-4_5-Azacytidine_0nM_24h	MOLT-4	5-Azacytidine	0nM	24h	Leukemia
NCI-H23_5-Azacytidine_0nM_24h	NCI-H23	5-Azacytidine	0nM	24h	Lung
NCI-H322M_5-Azacytidine_0nM_24h	NCI-H322M	5-Azacytidine	0nM	24h	Lung
OVCAR-3_5-Azacytidine_0nM_24h	OVCAR-3	5-Azacytidine	0nM	24h	Ovarian
OVCAR-4_5-Azacytidine_0nM_24h	OVCAR-4	5-Azacytidine	0nM	24h	Ovarian
PC-3_5-Azacytidine_0nM_24h	PC-3	5-Azacytidine	0nM	24h	Prostate
RPMI-8226_5-Azacytidine_0nM_24h	RPMI-8226	5-Azacytidine	0nM	24h	Leukemia
RXF-393_5-Azacytidine_0nM_24h	RXF-393	5-Azacytidine	0nM	24h	Renal
SF-268_5-Azacytidine_0nM_24h	SF-268	5-Azacytidine	0nM	24h	CNS
SF-295_5-Azacytidine_0nM_24h	SF-295	5-Azacytidine	0nM	24h	CNS
SK-MEL-2_5-Azacytidine_0nM_24h	SK-MEL-2	5-Azacytidine	0nM	24h	Melanoma
SK-MEL-28_5-Azacytidine_0nM_24h	SK-MEL-28	5-Azacytidine	0nM	24h	Melanoma
SK-MEL-5_5-Azacytidine_0nM_24h	SK-MEL-5	5-Azacytidine	0nM	24h	Melanoma
SK-OV-3_5-Azacytidine_0nM_24h	SK-OV-3	5-Azacytidine	0nM	24h	Ovarian
SN12C_5-Azacytidine_0nM_24h	SN12C	5-Azacytidine	0nM	24h	Renal
SNB-75_5-Azacytidine_0nM_24h	SNB-75	5-Azacytidine	0nM	24h	CNS
T-47D_5-Azacytidine_0nM_24h	T-47D	5-Azacytidine	0nM	24h	Breast
TK-10_5-Azacytidine_0nM_24h	TK-10	5-Azacytidine	0nM	24h	Renal
U251_5-Azacytidine_0nM_24h	U251	5-Azacytidine	0nM	24h	CNS
UACC-257_5-Azacytidine_0nM_24h	UACC-257	5-Azacytidine	0nM	24h	Melanoma
UACC-62_5-Azacytidine_0nM_24h	UACC-62	5-Azacytidine	0nM	24h	Melanoma
UO-31_5-Azacytidine_0nM_24h	UO-31	5-Azacytidine	0nM	24h	Renal
786-0_bortezomib_0nM_24h	786-0	bortezomib	0nM	24h	Renal
A498_bortezomib_0nM_24h	A498	bortezomib	0nM	24h	Renal
A549_bortezomib_0nM_24h	A549	bortezomib	0nM	24h	Lung
ACHN_bortezomib_0nM_24h	ACHN	bortezomib	0nM	24h	Renal
BT-549_bortezomib_0nM_24h	BT-549	bortezomib	0nM	24h	Breast
CAKI-1_bortezomib_0nM_24h	CAKI-1	bortezomib	0nM	24h	Renal
COLO-205_bortezomib_0nM_24h	COLO-205	bortezomib	0nM	24h	Colon
DU-145_bortezomib_0nM_24h	DU-145	bortezomib	0nM	24h	Prostate
EKVX_bortezomib_0nM_24h	EKVX	bortezomib	0nM	24h	Lung
HCC-2998_bortezomib_0nM_24h	HCC-2998	bortezomib	0nM	24h	Colon
HCT-116_bortezomib_0nM_24h	HCT-116	bortezomib	0nM	24h	Colon
HCT-15_bortezomib_0nM_24h	HCT-15	bortezomib	0nM	24h	Colon
HOP-62_bortezomib_0nM_24h	HOP-62	bortezomib	0nM	24h	Lung
HOP-92_bortezomib_0nM_24h	HOP-92	bortezomib	0nM	24h	Lung
HS-578T_bortezomib_0nM_24h	HS-578T	bortezomib	0nM	24h	Breast
HT29_bortezomib_0nM_24h	HT29	bortezomib	0nM	24h	Colon
IGR-OV1_bortezomib_0nM_24h	IGR-OV1	bortezomib	0nM	24h	Ovarian
K-562_bortezomib_0nM_24h	K-562	bortezomib	0nM	24h	Leukemia
KM12_bortezomib_0nM_24h	KM12	bortezomib	0nM	24h	Colon
LOX_bortezomib_0nM_24h	LOX	bortezomib	0nM	24h	Melanoma
M14_bortezomib_0nM_24h	M14	bortezomib	0nM	24h	Melanoma
MALME-3M_bortezomib_0nM_24h	MALME-3M	bortezomib	0nM	24h	Melanoma
MCF7_bortezomib_0nM_24h	MCF7	bortezomib	0nM	24h	Breast
MDA-MB-231_bortezomib_0nM_24h	MDA-MB-231	bortezomib	0nM	24h	Breast
MDA-MB-435_bortezomib_0nM_24h	MDA-MB-435	bortezomib	0nM	24h	Melanoma
MDA-MB-468_bortezomib_0nM_24h	MDA-MB-468	bortezomib	0nM	24h	Breast
NCI-ADR-RES_bortezomib_0nM_24h	NCI-ADR-RES	bortezomib	0nM	24h	Ovarian
NCI-H226_bortezomib_0nM_24h	NCI-H226	bortezomib	0nM	24h	Lung
NCI-H23_bortezomib_0nM_24h	NCI-H23	bortezomib	0nM	24h	Lung
NCI-H322M_bortezomib_0nM_24h	NCI-H322M	bortezomib	0nM	24h	Lung
NCI-H460_bortezomib_0nM_24h	NCI-H460	bortezomib	0nM	24h	Lung
NCI-H522_bortezomib_0nM_24h	NCI-H522	bortezomib	0nM	24h	Lung
OVCAR-3_bortezomib_0nM_24h	OVCAR-3	bortezomib	0nM	24h	Ovarian
OVCAR-4_bortezomib_0nM_24h	OVCAR-4	bortezomib	0nM	24h	Ovarian
OVCAR-5_bortezomib_0nM_24h	OVCAR-5	bortezomib	0nM	24h	Ovarian
OVCAR-8_bortezomib_0nM_24h	OVCAR-8	bortezomib	0nM	24h	Ovarian
PC-3_bortezomib_0nM_24h	PC-3	bortezomib	0nM	24h	Prostate
RXF-393_bortezomib_0nM_24h	RXF-393	bortezomib	0nM	24h	Renal
SF-268_bortezomib_0nM_24h	SF-268	bortezomib	0nM	24h	CNS
SF-295_bortezomib_0nM_24h	SF-295	bortezomib	0nM	24h	CNS
SF-539_bortezomib_0nM_24h	SF-539	bortezomib	0nM	24h	CNS
SK-MEL-2_bortezomib_0nM_24h	SK-MEL-2	bortezomib	0nM	24h	Melanoma
SK-MEL-28_bortezomib_0nM_24h	SK-MEL-28	bortezomib	0nM	24h	Melanoma
SK-MEL-5_bortezomib_0nM_24h	SK-MEL-5	bortezomib	0nM	24h	Melanoma
SK-OV-3_bortezomib_0nM_24h	SK-OV-3	bortezomib	0nM	24h	Ovarian
SN12C_bortezomib_0nM_24h	SN12C	bortezomib	0nM	24h	Renal
SNB-19_bortezomib_0nM_24h	SNB-19	bortezomib	0nM	24h	CNS
SNB-75_bortezomib_0nM_24h	SNB-75	bortezomib	0nM	24h	CNS
SW-620_bortezomib_0nM_24h	SW-620	bortezomib	0nM	24h	Colon
T-47D_bortezomib_0nM_24h	T-47D	bortezomib	0nM	24h	Breast
TK-10_bortezomib_0nM_24h	TK-10	bortezomib	0nM	24h	Renal
U251_bortezomib_0nM_24h	U251	bortezomib	0nM	24h	CNS
UACC-257_bortezomib_0nM_24h	UACC-257	bortezomib	0nM	24h	Melanoma
UACC-62_bortezomib_0nM_24h	UACC-62	bortezomib	0nM	24h	Melanoma
UO-31_bortezomib_0nM_24h	UO-31	bortezomib	0nM	24h	Renal
A498_cisplatin_0nM_24h	A498	cisplatin	0nM	24h	Renal
A549_cisplatin_0nM_24h	A549	cisplatin	0nM	24h	Lung
ACHN_cisplatin_0nM_24h	ACHN	cisplatin	0nM	24h	Renal
BT-549_cisplatin_0nM_24h	BT-549	cisplatin	0nM	24h	Breast
CAKI-1_cisplatin_0nM_24h	CAKI-1	cisplatin	0nM	24h	Renal
COLO-205_cisplatin_0nM_24h	COLO-205	cisplatin	0nM	24h	Colon
DU-145_cisplatin_0nM_24h	DU-145	cisplatin	0nM	24h	Prostate
EKVX_cisplatin_0nM_24h	EKVX	cisplatin	0nM	24h	Lung
HCC-2998_cisplatin_0nM_24h	HCC-2998	cisplatin	0nM	24h	Colon
HCT-116_cisplatin_0nM_24h	HCT-116	cisplatin	0nM	24h	Colon
HCT-15_cisplatin_0nM_24h	HCT-15	cisplatin	0nM	24h	Colon
